Hungary,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.4122580645161291,0.63,,,,
1,1801,1.102258064516129,0.55,,,,
2,1802,1.012258064516129,0.47,,,,
3,1803,-0.3377419354838709,0.39,,,,
4,1804,-0.1077419354838709,0.31,,,,
5,1805,-1.3077419354838709,0.23,,,,
6,1806,0.8422580645161291,0.15,,,,
7,1807,0.8622580645161291,0.06,,,,
8,1808,-0.8077419354838709,-0.02,,,,
9,1809,-0.26774193548387093,-0.1,,,,
10,1810,0.06225806451612914,-0.16,,,,
11,1811,0.9222580645161291,-0.19,,,,
12,1812,-0.8977419354838709,-0.2,,,,
13,1813,-0.4777419354838709,-0.21,,,,
14,1814,-0.7577419354838708,-0.2,,,,
15,1815,-0.4977419354838709,-0.18,,,,
16,1816,-0.7977419354838708,-0.14,,,,
17,1817,0.05225806451612913,-0.09,,,,
18,1818,0.32225806451612915,-0.03,,,,
19,1819,0.3522580645161291,0.05,,,,
20,1820,-0.16774193548387084,0.12,,,,
21,1821,0.1422580645161291,0.19,,,,
22,1822,1.3122580645161293,0.24,,,,
23,1823,0.06225806451612914,0.26,,,,
24,1824,0.9122580645161291,0.25,,,,
25,1825,0.4822580645161291,0.22,,,,
26,1826,0.1822580645161291,0.19,,,,
27,1827,0.4722580645161291,0.15,,,,
28,1828,0.032258064516129115,0.11,,,,
29,1829,-1.6977419354838708,0.06,,,,
30,1830,-0.2477419354838709,-0.0,,,,
31,1831,-0.03774193548387089,-0.08,,,,
32,1832,-0.7777419354838708,-0.15,,,,
33,1833,0.05225806451612913,-0.21,,,,
34,1834,1.152258064516129,-0.26,,,,
35,1835,-0.4577419354838709,-0.29,,,,
36,1836,0.2622580645161291,-0.3,,,,
37,1837,-0.917741935483871,-0.3,,,,
38,1838,-1.3077419354838709,-0.3,,,,
39,1839,-0.027741935483870883,-0.3,,,,
40,1840,-1.207741935483871,-0.3,,,,
41,1841,0.7422580645161292,-0.29,,,,
42,1842,-0.6077419354838709,-0.29,,,,
43,1843,0.2522580645161291,-0.27,,,,
44,1844,-0.6277419354838709,-0.24,,,,
45,1845,-0.31774193548387086,-0.21,,,,
46,1846,1.122258064516129,-0.18,,,,
47,1847,-0.6477419354838709,-0.16,,,,
48,1848,0.44225806451612915,-0.15,,,,
49,1849,-0.43774193548387086,-0.15,,,,
50,1850,-0.3577419354838709,-0.15,,,,
51,1851,-0.12774193548387092,-0.15,,,,
52,1852,0.31225806451612914,-0.16,,,,
53,1853,-0.19774193548387087,-0.15,,,,
54,1854,-0.2377419354838709,-0.14,,,,
