Serbia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.4654838709677419,0.7,,,,
1,1801,1.075483870967742,0.61,,,,
2,1802,1.0554838709677419,0.52,,,,
3,1803,-0.1745161290322581,0.43,,,,
4,1804,0.13548387096774192,0.34,,,,
5,1805,-0.9545161290322581,0.25,,,,
6,1806,0.695483870967742,0.16,,,,
7,1807,0.8354838709677419,0.07,,,,
8,1808,-0.844516129032258,-0.02,,,,
9,1809,-0.4145161290322581,-0.12,,,,
10,1810,0.045483870967741924,-0.18,,,,
11,1811,0.6054838709677419,-0.22,,,,
12,1812,-0.834516129032258,-0.25,,,,
13,1813,-0.574516129032258,-0.26,,,,
14,1814,-0.6545161290322581,-0.25,,,,
15,1815,-0.5045161290322581,-0.23,,,,
16,1816,-0.854516129032258,-0.19,,,,
17,1817,-0.12451612903225806,-0.14,,,,
18,1818,0.21548387096774194,-0.08,,,,
19,1819,0.20548387096774193,-0.02,,,,
20,1820,-0.014516129032258074,0.05,,,,
21,1821,0.025483870967741906,0.11,,,,
22,1822,1.0054838709677418,0.15,,,,
23,1823,0.10548387096774192,0.17,,,,
24,1824,0.8154838709677419,0.16,,,,
25,1825,0.23548387096774193,0.13,,,,
26,1826,0.0854838709677419,0.09,,,,
27,1827,0.4554838709677419,0.04,,,,
28,1828,0.025483870967741906,-0.01,,,,
29,1829,-1.294516129032258,-0.06,,,,
30,1830,-0.22451612903225804,-0.13,,,,
31,1831,-0.1745161290322581,-0.2,,,,
32,1832,-0.9745161290322581,-0.27,,,,
33,1833,-0.1545161290322581,-0.33,,,,
34,1834,0.675483870967742,-0.37,,,,
35,1835,-0.6645161290322581,-0.39,,,,
36,1836,0.025483870967741906,-0.39,,,,
37,1837,-1.014516129032258,-0.39,,,,
38,1838,-1.094516129032258,-0.37,,,,
39,1839,-0.13451612903225807,-0.36,,,,
40,1840,-0.9945161290322582,-0.35,,,,
41,1841,0.645483870967742,-0.33,,,,
42,1842,-0.5245161290322581,-0.31,,,,
43,1843,0.10548387096774192,-0.29,,,,
44,1844,-0.584516129032258,-0.26,,,,
45,1845,-0.23451612903225805,-0.22,,,,
46,1846,0.9354838709677419,-0.19,,,,
47,1847,-0.604516129032258,-0.17,,,,
48,1848,0.36548387096774193,-0.15,,,,
49,1849,-0.3945161290322581,-0.14,,,,
50,1850,-0.584516129032258,-0.14,,,,
51,1851,-0.14451612903225808,-0.14,,,,
52,1852,0.19548387096774192,-0.14,,,,
53,1853,0.13548387096774192,-0.13,,,,
